fake_effect_val,censor_intercept,censored_prop,est_beta_err_gy,beta_p_value,lrt_curvature_p_value,convergence_success
-0.04,-1.0,0.548,-0.9825655512108932,0.69422258850335,0.9977217029645763,True
-0.04,-0.5,0.6766666666666667,0.8165338215037842,0.8140691527932604,0.5396528647374235,True
0.0,-1.0,0.548,-2.668970573057585,0.05248018728388626,0.2805946076404491,True
0.0,-0.5,0.6766666666666667,-1.6529048365180998,0.4430124534063955,0.4097266184202327,True
0.04,-1.0,0.548,-3.2350635899191778,0.00026827685194841244,0.16159201197922565,True
0.04,-0.5,0.6766666666666667,-2.6292785881283827,0.06492647258332096,0.2671029250165169,True
